episode,reward,moving_average
1,32.093,32.093
2,33.13,32.61150000000001
3,28.119,31.114000000000004
4,30.593,30.983750000000004
5,28.915,30.570000000000004
6,26.083,29.82216666666667
7,29.766,29.81414285714286
8,32.305,30.125500000000002
9,29.589,30.065888888888892
10,29.381,29.997400000000006
11,28.873,29.675399999999996
12,29.527,29.3151
13,30.0,29.5032
14,28.391,29.282999999999998
15,31.698,29.5613
16,29.942,29.9472
17,34.218,30.392400000000002
18,30.226,30.184500000000003
19,32.025,30.4281
20,30.873,30.577299999999997
21,27.936,30.483600000000003
22,32.999,30.830800000000004
23,29.866,30.817400000000003
24,27.589,30.7372
25,27.041,30.271499999999996
26,30.241,30.301399999999994
27,32.068,30.086399999999998
28,30.121,30.075899999999997
29,29.848,29.858199999999993
30,26.865,29.4574
31,31.149,29.778699999999997
32,30.416,29.520400000000002
33,31.014,29.635200000000005
34,25.494,29.425699999999996
35,28.367,29.558300000000003
36,29.21,29.455199999999998
37,30.232,29.2716
38,27.386,28.998100000000004
39,34.028,29.4161
40,32.059,29.9355
41,29.117,29.732300000000002
42,30.882,29.7789
43,25.306,29.208099999999995
44,27.81,29.4397
45,30.134,29.6164
46,24.615,29.1569
47,27.697,28.903400000000005
48,24.905,28.6553
49,29.439,28.1964
50,26.772,27.667700000000004
51,28.778,27.6338
52,27.053,27.250899999999994
53,31.068,27.827099999999994
54,28.16,27.862099999999998
55,31.336,27.9823
56,29.652,28.485999999999997
57,29.719,28.688200000000002
58,30.854,29.283099999999997
59,29.155,29.254699999999993
60,28.775,29.454999999999995
61,30.754,29.6526
62,31.177,30.065000000000005
63,26.39,29.597199999999997
64,29.951,29.776300000000003
65,26.901,29.332800000000002
66,26.198,28.987399999999997
67,30.806,29.0961
68,26.328,28.643499999999996
69,25.139,28.241900000000005
70,25.664,27.930800000000005
71,24.224,27.277800000000003
72,26.799,26.839999999999996
73,31.504,27.3514
74,28.337,27.189999999999998
75,24.891,26.988999999999997
76,28.537,27.2229
77,24.29,26.571299999999997
78,31.131,27.051599999999997
79,27.615,27.299200000000003
80,30.576,27.790399999999998
81,27.83,28.151
82,30.71,28.542099999999998
83,29.153,28.307
84,32.528,28.726100000000002
85,31.166,29.3536
86,28.488,29.3487
87,29.785,29.898200000000003
88,28.131,29.5982
89,27.96,29.632699999999993
90,26.602,29.235299999999995
91,30.007,29.452999999999996
92,28.299,29.211899999999996
93,27.191,29.0157
94,25.735,28.336400000000005
95,30.565,28.276300000000003
96,31.811,28.608600000000003
97,31.38,28.768099999999997
98,30.544,29.0094
99,28.016,29.015000000000004
100,32.61,29.6158
101,25.105,29.125600000000002
102,28.115,29.1072
103,26.585,29.046599999999994
104,30.282,29.501299999999997
105,31.761,29.6209
106,29.565,29.396300000000004
107,25.833,28.841600000000007
108,27.885,28.575699999999994
109,29.388,28.712899999999998
110,30.121,28.464
111,31.065,29.059999999999995
112,25.073,28.7558
113,31.762,29.273500000000002
114,30.641,29.3094
115,31.788,29.312100000000004
116,29.461,29.3017
117,30.212,29.739600000000003
118,26.854,29.636499999999995
119,30.404,29.738099999999996
120,28.473,29.5733
121,28.728,29.3396
122,31.473,29.979600000000005
123,30.931,29.896500000000003
124,29.813,29.8137
125,31.16,29.75090000000001
126,31.532,29.958
127,27.854,29.722199999999997
128,27.78,29.8148
129,25.601,29.334500000000002
130,30.136,29.50080000000001
131,28.549,29.482899999999994
132,27.017,29.0373
133,26.577,28.6019
134,30.371,28.6577
135,26.179,28.1596
136,27.549,27.7613
137,29.38,27.9139
138,27.145,27.8504
139,31.014,28.391700000000004
140,29.878,28.3659
141,24.83,27.994
142,27.785,28.070800000000002
143,30.691,28.4822
144,29.756,28.4207
145,26.166,28.419400000000003
146,25.233,28.187800000000003
147,27.311,27.980900000000002
148,31.559,28.4223
149,30.066,28.327499999999997
150,29.602,28.2999
151,28.839,28.700799999999997
152,27.624,28.684700000000003
153,30.514,28.667
154,27.049,28.396299999999997
155,27.069,28.4866
156,28.205,28.783800000000003
157,28.955,28.948199999999996
158,30.647,28.857
159,28.177,28.6681
160,26.552,28.363099999999996
